id,x,y,z,i
0,-5.71133,-13.5094,0.0203057,0
0,-5.75036,-13.4995,0.134549,0
0,-5.76175,-13.5062,0.199953,0
0,-5.76109,-13.4931,0.135113,0
0,-5.77249,-13.4998,0.200704,0
0,-5.76842,-13.4841,0.135746,0
0,-5.7172,-13.5731,0.0174964,0
0,-5.72435,-13.5545,0.0184164,0
0,-5.72606,-13.4888,0.0696167,0
0,-5.77265,-13.567,0.149532,0
0,-5.73159,-13.5467,0.0188449,0
0,-5.79507,-13.5641,0.150829,0
0,-5.70844,-13.5287,0.0194118,0
0,-5.76396,-13.5464,0.214999,0
0,-5.7118,-13.5197,0.0198515,0
0,-5.73326,-13.5299,0.0840316,0
0,-5.7602,-13.5317,0.14987,0
0,-5.72682,-13.5051,0.117368,0
0,-5.78644,-13.5641,0.134314,0
0,-5.68105,-13.558,0.0335923,0
0,-5.74998,-13.5156,0.183023,0
0,-5.74432,-13.5075,0.0533642,0
0,-5.75327,-13.5064,0.183468,0
0,-5.73614,-13.4947,0.0537099,0
0,-5.76443,-13.4986,0.184394,0
0,-5.77882,-13.4938,0.185451,0
0,-5.75749,-13.4698,0.0551705,0
0,-5.75831,-13.5159,0.199486,0
0,-5.70683,-13.5405,0.195285,0
0,-5.77732,-13.5469,0.0687386,0
0,-5.74446,-13.5423,0.197903,0
0,-5.76309,-13.535,0.134076,0
0,-5.75139,-13.5204,0.133958,0
0,-5.75893,-13.5259,0.199302,0
0,-5.7341,-13.502,0.0693223,0
0,-5.74694,-13.5092,0.134084,0
0,-5.70306,-13.4969,0.0999066,0
0,-5.76975,-13.5636,0.165519,0
0,-5.71045,-13.5371,0.0349621,0
0,-5.70626,-13.5256,0.0353906,0
0,-5.71149,-13.5203,0.0994155,0
0,-5.75771,-13.5388,0.165459,0
0,-5.70961,-13.5166,0.0358283,0
0,-5.71102,-13.5101,0.0997525,0
0,-5.7573,-13.5284,0.165712,0
0,-5.72055,-13.51,0.0362792,0
0,-5.71839,-13.55,0.0345343,0
0,-5.757,-13.5175,0.165984,0
0,-5.724,-13.5005,0.0367373,0
0,-5.75271,-13.5058,0.166036,0
0,-5.72727,-13.4915,0.0371718,0
0,-5.77136,-13.501,0.167277,0
0,-5.73447,-13.4832,0.037636,0
0,-5.74533,-13.4765,0.0380878,0
0,-5.78675,-13.4791,0.0386252,0
0,-5.76652,-13.5023,0.151052,0
0,-5.76371,-13.522,0.150337,0
0,-5.7557,-13.5225,0.214864,0
0,-5.71858,-13.5012,0.0207484,0
0,-5.75152,-13.5149,0.08517,0
0,-5.76703,-13.5128,0.150781,0
0,-5.76282,-13.5145,0.215571,0
0,-5.73328,-13.4957,0.0211392,0
0,-5.78149,-13.5142,0.0861592,0
0,-5.74042,-13.522,0.0845509,0
0,-5.75851,-13.5029,0.215484,0
0,-5.73653,-13.4866,0.0215749,0
0,-5.76992,-13.4926,0.151514,0
0,-5.76952,-13.4956,0.216476,0
0,-5.73607,-13.4759,0.0220441,0
0,-5.74294,-13.4684,0.0224415,0
0,-5.76921,-13.4658,0.0228211,0
0,-5.75492,-13.5689,0.164494,0
0,-5.70057,-13.4877,0.154917,0
0,-5.7341,-13.5508,0.128777,0
0,-5.72615,-13.5186,0.129806,0
0,-5.78181,-13.5238,0.109094,0
0,-5.74127,-13.5193,0.109261,0
0,-5.72005,-13.5007,0.109941,0
0,-5.73944,-13.4567,0.111541,0
0,-5.71724,-13.5741,0.15158,0
0,-5.71515,-13.5107,0.154084,0
0,-5.71393,-13.5211,0.0791667,0
0,-5.7583,-13.5758,0.0170021,0
0,-5.70693,-13.5462,0.0184224,0
0,-5.6892,-13.5255,0.0192249,0
0,-5.72606,-13.5079,0.199021,0
0,-5.68805,-13.4939,0.0201914,0
0,-5.74556,-13.5564,0.0623639,0
0,-5.68843,-13.563,0.0624349,0
0,-5.68005,-13.5347,0.0634233,0
0,-5.65842,-13.5291,0.0262389,0
0,-5.8089,-13.5258,0.0528637,0
0,-5.68759,-13.5685,0.0587465,0
0,-5.74065,-13.5947,0.0418672,0
0,-5.73026,-13.5414,0.0430911,0
0,-5.72748,-13.493,0.19626,0
0,-5.73268,-13.6193,0.0235213,0
0,-5.7365,-13.5609,0.0248897,0
0,-5.69932,-13.5471,0.0255042,0
0,-5.76962,-13.5317,0.183901,0
0,-5.72799,-13.5756,0.088202,0
0,-5.77936,-13.5775,0.180182,0
0,-5.75617,-13.5581,0.18073,0
0,-5.73023,-13.5787,0.0273221,0
0,-5.70299,-13.5607,0.0280005,0
0,-5.68769,-13.5321,0.028856,0
