id,x,y,z,i
0,-15.0791,-26.3061,0.0596595,0
0,-15.0975,-26.2244,-0.00603567,0
0,-15.1349,-26.2452,0.107348,0
0,-15.1124,-26.2235,-0.00566432,0
0,-15.0316,-26.3113,0.00159774,0
0,-15.1237,-26.2209,-0.0052751,0
0,-15.0462,-26.3115,0.00198903,0
0,-15.0625,-26.3203,0.114724,0
0,-15.1352,-26.2178,-0.00485935,0
0,-15.0576,-26.3065,0.11477,0
0,-15.0462,-26.2908,0.0030984,0
0,-15.1262,-26.2539,0.163445,0
0,-15.0628,-26.2991,0.115306,0
0,-15.0652,-26.3047,0.171701,0
0,-15.0514,-26.2835,0.0036297,0
0,-15.0808,-26.2968,0.0601078,0
0,-15.0668,-26.2954,0.171962,0
0,-15.0429,-26.2676,0.00424618,0
0,-15.0824,-26.2919,0.116777,0
0,-15.0509,-26.2632,0.00469613,0
0,-15.0703,-26.2698,0.0607042,0
0,-15.0806,-26.2804,0.116968,0
0,-15.0751,-26.2439,0.0480875,0
0,-15.1262,-26.3014,0.105132,0
0,-15.0571,-26.2488,-0.00827206,0
0,-15.0722,-26.2624,0.0471751,0
0,-15.1074,-26.2794,0.104657,0
0,-15.1169,-26.2894,0.162098,0
0,-15.0751,-26.2507,-0.00799016,0
0,-15.06,-26.2448,0.0474268,0
0,-15.1058,-26.2675,0.104915,0
0,-15.0985,-26.2667,0.161015,0
0,-15.0734,-26.239,-0.00737044,0
0,-15.0698,-26.2772,0.17245,0
0,-15.1104,-26.2606,0.105399,0
0,-15.0963,-26.2555,0.161033,0
0,-15.0813,-26.2344,-0.00694233,0
0,-15.1438,-26.2777,0.049452,0
0,-15.105,-26.247,0.105484,0
0,-15.1079,-26.2526,0.162004,0
0,-15.0894,-26.2294,-0.00648936,0
0,-15.1182,-26.2513,0.0495378,0
0,-15.1199,-26.2461,0.106412,0
0,-15.1845,-26.2824,0.0128522,0
0,-15.1483,-26.2874,0.00216612,0
0,-15.0529,-26.3113,0.00509392,0
0,-15.1394,-26.4248,0.150396,0
0,-15.114,-26.3213,0.164448,0
0,-15.0821,-26.3154,0.0168918,0
0,-15.1491,-26.3749,0.0291252,0
0,-15.1275,-26.2984,0.0327136,0
0,-15.1082,-26.2901,0.169343,0
0,-15.1118,-26.4198,0.0895493,0
0,-15.1044,-26.3251,0.0916708,0
0,-15.1433,-26.2878,0.0757942,0
0,-15.1249,-26.3047,0.0138521,0
0,-15.0973,-26.2391,0.0404184,0
0,-15.112,-26.2572,0.0887782,0
0,-15.0855,-26.2359,0.135267,0
0,-15.0907,-26.2285,-0.00703175,0
0,-15.1057,-26.2409,0.0887443,0
0,-15.1017,-26.2287,-0.00671694,0
0,-15.1098,-26.2262,-0.00633579,0
0,-15.1325,-26.2373,-0.0062666,0
0,-15.0735,-26.2373,0.00667093,0
0,-15.0524,-26.254,0.00522334,0
